accession	strain	date	date_released	date_updated	region	country	division	location	length	host	is_lab_host	sra_accessions	authors	full_authors	institution	submitter_country	sample_type	url
MK673568	811373	2008-02-28	2021-04-19	2021-04-19	Asia	Bangladesh			18237	Homo sapiens			Whitmer et al.	Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.	Centers for Disease Control and Prevention, Viral Special Pathogens	USA	oronasopharynx	https://www.ncbi.nlm.nih.gov/nuccore/MK673568
MK673572	201200905	2011-02-01	2021-04-19	2021-04-19	Asia	Bangladesh			18105	Homo sapiens			Whitmer et al.	Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.	Centers for Disease Control and Prevention, Viral Special Pathogens	USA	oronasopharynx	https://www.ncbi.nlm.nih.gov/nuccore/MK673572
MK673574	201200920	2011-02-03	2021-04-19	2021-04-19	Asia	Bangladesh			18205	Homo sapiens			Whitmer et al.	Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.	Centers for Disease Control and Prevention, Viral Special Pathogens	USA	oronasopharynx	https://www.ncbi.nlm.nih.gov/nuccore/MK673574
MK673576	201200973	2011-01-01	2021-04-19	2021-04-19	Asia	Bangladesh			18237	Homo sapiens			Whitmer et al.	Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.	Centers for Disease Control and Prevention, Viral Special Pathogens	USA	oronasopharynx	https://www.ncbi.nlm.nih.gov/nuccore/MK673576
MK673578	201206119	2011-03-08	2021-04-19	2021-04-19	Asia	Bangladesh			18235	Homo sapiens			Whitmer et al.	Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.	Centers for Disease Control and Prevention, Viral Special Pathogens	USA	blood	https://www.ncbi.nlm.nih.gov/nuccore/MK673578
MK673580	201206313	2012-01-20	2021-04-19	2021-04-19	Asia	Bangladesh			18234	Homo sapiens			Whitmer et al.	Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.	Centers for Disease Control and Prevention, Viral Special Pathogens	USA	oronasopharynx	https://www.ncbi.nlm.nih.gov/nuccore/MK673580
MK673584	201601126	2015-01-05	2021-04-19	2021-04-19	Asia	Bangladesh			18229	Homo sapiens			Whitmer et al.	Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.	Centers for Disease Control and Prevention, Viral Special Pathogens	USA	oronasopharynx	https://www.ncbi.nlm.nih.gov/nuccore/MK673584
MK673585	201601136	2015-03-18	2021-04-19	2021-04-19	Asia	Bangladesh			18245	Homo sapiens			Whitmer et al.	Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.	Centers for Disease Control and Prevention, Viral Special Pathogens	USA	oronasopharynx	https://www.ncbi.nlm.nih.gov/nuccore/MK673585
MK673588	201601161	2015-02-27	2021-04-19	2021-04-19	Asia	Bangladesh			18119	Homo sapiens			Whitmer et al.	Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.	Centers for Disease Control and Prevention, Viral Special Pathogens	USA	oronasopharynx	https://www.ncbi.nlm.nih.gov/nuccore/MK673588
MK673589	201601187	2014-02-06	2021-04-19	2021-04-19	Asia	Bangladesh			18215	Homo sapiens			Whitmer et al.	Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.	Centers for Disease Control and Prevention, Viral Special Pathogens	USA	oronasopharynx	https://www.ncbi.nlm.nih.gov/nuccore/MK673589
MK673590	201601191	2014-02-07	2021-04-19	2021-04-19	Asia	Bangladesh			18208	Homo sapiens			Whitmer et al.	Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.	Centers for Disease Control and Prevention, Viral Special Pathogens	USA	oronasopharynx	https://www.ncbi.nlm.nih.gov/nuccore/MK673590
MK673592	201601241	2014-01-20	2021-04-19	2021-04-19	Asia	Bangladesh			18234	Homo sapiens			Whitmer et al.	Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.	Centers for Disease Control and Prevention, Viral Special Pathogens	USA	oronasopharynx	https://www.ncbi.nlm.nih.gov/nuccore/MK673592
MN549407	MCL-19-BAT-572-6	2019-06-10	2020-11-01	2020-11-01	Asia	India	Thodupuza Village	Idukki District, Kerala State	17813	Pteropus medius			Yadav et al.	Yadav,P.	National Institue of Virology, Maximum Containment Laboratory	India	heart	https://www.ncbi.nlm.nih.gov/nuccore/MN549407
MN549410	MCL-19-BAT-574-7	2019-06-10	2020-11-01	2020-11-01	Asia	India	Thodupuza Village	Idukki District, Kerala State	17815	Pteropus medius			Yadav et al.	Yadav,P.	National Institue of Virology, Maximum Containment Laboratory	India		https://www.ncbi.nlm.nih.gov/nuccore/MN549410
MT125113	PREDICT_THAB16P01	2016-05-24	2022-05-29	2022-05-29	Asia	Thailand			181	Pteropus lylei			?		University of California, Davis, One Health Institute & Karen C Drayer Wildlife Health Center, School of Veterinary Medicine	USA		https://www.ncbi.nlm.nih.gov/nuccore/MT125113
MT125114	PREDICT_THAB17602	2017-05-20	2022-05-29	2022-05-29	Asia	Thailand			181	Pteropus lylei			?		University of California, Davis, One Health Institute & Karen C Drayer Wildlife Health Center, School of Veterinary Medicine	USA	urine, feces	https://www.ncbi.nlm.nih.gov/nuccore/MT125114
MT890707	NiV/BGD/BA/2012/J-106	2012-01-28	2020-11-22	2020-11-22	Asia	Bangladesh			1413	Chiroptera			Rahman et al.	Rahman,M.Z.,Islam,M.M.,Hossain,M.E.,Rahman,M.M.,Islam,A.,Siddika,A.,Hossain,M.S.S.,Sultana,S.,Rahman,M.,Klena,J.D.,Flora,M.S.,Daszak,P.,Epstein,J.H.,Luby,S.P.,Gurley,E.S.,Sazzad,H.M.S.	icddr,b, Virology	Bangladesh		https://www.ncbi.nlm.nih.gov/nuccore/MT890707
MT890712	NiV/BGD/HU/2013/RPP175113	2013-01-14	2020-11-22	2020-11-22	Asia	Bangladesh			1599	Homo sapiens			Rahman et al.	Rahman,M.Z.,Islam,M.M.,Hossain,M.E.,Rahman,M.M.,Islam,A.,Siddika,A.,Hossain,M.S.S.,Sultana,S.,Rahman,M.,Klena,J.D.,Flora,M.S.,Daszak,P.,Epstein,J.H.,Luby,S.P.,Gurley,E.S.,Sazzad,H.M.S.	icddr,b, Virology	Bangladesh		https://www.ncbi.nlm.nih.gov/nuccore/MT890712
MT890714	NiV/BGD/HU/2013/RajP115713	2013-01-19	2020-11-22	2020-11-22	Asia	Bangladesh			1599	Homo sapiens			Rahman et al.	Rahman,M.Z.,Islam,M.M.,Hossain,M.E.,Rahman,M.M.,Islam,A.,Siddika,A.,Hossain,M.S.S.,Sultana,S.,Rahman,M.,Klena,J.D.,Flora,M.S.,Daszak,P.,Epstein,J.H.,Luby,S.P.,Gurley,E.S.,Sazzad,H.M.S.	icddr,b, Virology	Bangladesh		https://www.ncbi.nlm.nih.gov/nuccore/MT890714
MT890716	NiV/BGD/HU/2014/RP210214	2014-01-14	2020-11-22	2020-11-22	Asia	Bangladesh			1412	Homo sapiens			Rahman et al.	Rahman,M.Z.,Islam,M.M.,Hossain,M.E.,Rahman,M.M.,Islam,A.,Siddika,A.,Hossain,M.S.S.,Sultana,S.,Rahman,M.,Klena,J.D.,Flora,M.S.,Daszak,P.,Epstein,J.H.,Luby,S.P.,Gurley,E.S.,Sazzad,H.M.S.	icddr,b, Virology	Bangladesh		https://www.ncbi.nlm.nih.gov/nuccore/MT890716
MT890718	NiV/BGD/HU/2015/FP081915	2014-12-30	2020-11-22	2020-11-22	Asia	Bangladesh			1412	Homo sapiens			Rahman et al.	Rahman,M.Z.,Islam,M.M.,Hossain,M.E.,Rahman,M.M.,Islam,A.,Siddika,A.,Hossain,M.S.S.,Sultana,S.,Rahman,M.,Klena,J.D.,Flora,M.S.,Daszak,P.,Epstein,J.H.,Luby,S.P.,Gurley,E.S.,Sazzad,H.M.S.	icddr,b, Virology	Bangladesh		https://www.ncbi.nlm.nih.gov/nuccore/MT890718
MT890721	NiV/BGD/HU/2015/FP086315	2015-02-18	2020-11-22	2020-11-22	Asia	Bangladesh			1413	Homo sapiens			Rahman et al.	Rahman,M.Z.,Islam,M.M.,Hossain,M.E.,Rahman,M.M.,Islam,A.,Siddika,A.,Hossain,M.S.S.,Sultana,S.,Rahman,M.,Klena,J.D.,Flora,M.S.,Daszak,P.,Epstein,J.H.,Luby,S.P.,Gurley,E.S.,Sazzad,H.M.S.	icddr,b, Virology	Bangladesh		https://www.ncbi.nlm.nih.gov/nuccore/MT890721
MT890722	NiV/BGD/HU/2015/RS195315	2015-01-15	2020-11-22	2020-11-22	Asia	Bangladesh			1194	Homo sapiens			Rahman et al.	Rahman,M.Z.,Islam,M.M.,Hossain,M.E.,Rahman,M.M.,Islam,A.,Siddika,A.,Hossain,M.S.S.,Sultana,S.,Rahman,M.,Klena,J.D.,Flora,M.S.,Daszak,P.,Epstein,J.H.,Luby,S.P.,Gurley,E.S.,Sazzad,H.M.S.	icddr,b, Virology	Bangladesh		https://www.ncbi.nlm.nih.gov/nuccore/MT890722
MT890724	NiV/BGD/HU/2017/FP136517	2017-02-15	2020-11-22	2020-11-22	Asia	Bangladesh			1412	Homo sapiens			Rahman et al.	Rahman,M.Z.,Islam,M.M.,Hossain,M.E.,Rahman,M.M.,Islam,A.,Siddika,A.,Hossain,M.S.S.,Sultana,S.,Rahman,M.,Klena,J.D.,Flora,M.S.,Daszak,P.,Epstein,J.H.,Luby,S.P.,Gurley,E.S.,Sazzad,H.M.S.	icddr,b, Virology	Bangladesh		https://www.ncbi.nlm.nih.gov/nuccore/MT890724
MT890730	NiV/BGD/HU/2018/SQ00118	2018-02-08	2020-11-22	2020-11-22	Asia	Bangladesh			1599	Homo sapiens			Rahman et al.	Rahman,M.Z.,Islam,M.M.,Hossain,M.E.,Rahman,M.M.,Islam,A.,Siddika,A.,Hossain,M.S.S.,Sultana,S.,Rahman,M.,Klena,J.D.,Flora,M.S.,Daszak,P.,Epstein,J.H.,Luby,S.P.,Gurley,E.S.,Sazzad,H.M.S.	icddr,b, Virology	Bangladesh		https://www.ncbi.nlm.nih.gov/nuccore/MT890730
MT890731	NiV/BGD/HU/2018/RS337518	2018-04-03	2020-11-22	2020-11-22	Asia	Bangladesh			1185	Homo sapiens			Rahman et al.	Rahman,M.Z.,Islam,M.M.,Hossain,M.E.,Rahman,M.M.,Islam,A.,Siddika,A.,Hossain,M.S.S.,Sultana,S.,Rahman,M.,Klena,J.D.,Flora,M.S.,Daszak,P.,Epstein,J.H.,Luby,S.P.,Gurley,E.S.,Sazzad,H.M.S.	icddr,b, Virology	Bangladesh		https://www.ncbi.nlm.nih.gov/nuccore/MT890731
MW573860	2982	2009-04-09	2021-07-15	2021-07-15	Asia	Thailand			357	Pteropus lylei			Wacharapluesadee et al.	Wacharapluesadee,S.,Ghai,S.,Duengkae,P.,Manee-Orn,P.,Thanapongtharm,W.,Saraya,A.W.,Yingsakmongkon,S.,Joyjinda,Y.,Suradhat,S.,Ampoot,W.,Nuansrichay,B.,Kaewpom,T.,Tantilertcharoen,R.,Rodpan,A.,Wongsathapornchai,K.,Ponpinit,T.,Buathong,R.,Bunprakob,S.,Damrongwatanapokin,S.,Ruchiseesarod,C.,Petcharat,S.,Kalpravidh,W.,Olival,K.J.,Stokes,M.M.,Hemachudha,T.,Kulprawit,W.	Faculty of Medicine, Chulalongkorn University, Thai Red Cross Emerging Infectious Diseases - Health Science Centre and WHO Collaborating Centre for Research and Training on Viral Zoonoses, King Chulalongkorn Memorial Hospital	Thailand	urine	https://www.ncbi.nlm.nih.gov/nuccore/MW573860
MW573863	161	2012-04-28	2021-07-15	2021-07-15	Asia	Thailand			357	Pteropus lylei			Wacharapluesadee et al.	Wacharapluesadee,S.,Ghai,S.,Duengkae,P.,Manee-Orn,P.,Thanapongtharm,W.,Saraya,A.W.,Yingsakmongkon,S.,Joyjinda,Y.,Suradhat,S.,Ampoot,W.,Nuansrichay,B.,Kaewpom,T.,Tantilertcharoen,R.,Rodpan,A.,Wongsathapornchai,K.,Ponpinit,T.,Buathong,R.,Bunprakob,S.,Damrongwatanapokin,S.,Ruchiseesarod,C.,Petcharat,S.,Kalpravidh,W.,Olival,K.J.,Stokes,M.M.,Hemachudha,T.,Kulprawit,W.	Faculty of Medicine, Chulalongkorn University, Thai Red Cross Emerging Infectious Diseases - Health Science Centre and WHO Collaborating Centre for Research and Training on Viral Zoonoses, King Chulalongkorn Memorial Hospital	Thailand	urine	https://www.ncbi.nlm.nih.gov/nuccore/MW573863
MW573864	184	2012-04-28	2021-07-15	2021-07-15	Asia	Thailand			357	Pteropus lylei			Wacharapluesadee et al.	Wacharapluesadee,S.,Ghai,S.,Duengkae,P.,Manee-Orn,P.,Thanapongtharm,W.,Saraya,A.W.,Yingsakmongkon,S.,Joyjinda,Y.,Suradhat,S.,Ampoot,W.,Nuansrichay,B.,Kaewpom,T.,Tantilertcharoen,R.,Rodpan,A.,Wongsathapornchai,K.,Ponpinit,T.,Buathong,R.,Bunprakob,S.,Damrongwatanapokin,S.,Ruchiseesarod,C.,Petcharat,S.,Kalpravidh,W.,Olival,K.J.,Stokes,M.M.,Hemachudha,T.,Kulprawit,W.	Faculty of Medicine, Chulalongkorn University, Thai Red Cross Emerging Infectious Diseases - Health Science Centre and WHO Collaborating Centre for Research and Training on Viral Zoonoses, King Chulalongkorn Memorial Hospital	Thailand	urine	https://www.ncbi.nlm.nih.gov/nuccore/MW573864
